run_id,range_id,composite,pad_accuracy,coherence,llm_corr,llm_coherence,self_direction,emotional_range,danger_score,n_scenarios
20260512T103855Z,dominance_18_29,0.6627527329115798,0.9790048487537686,0.8682973246093078,0.5786516224986243,0.8321428571428573,0.39059873931883604,0.050546173187980104,0,4
20260512T103855Z,dominance_14_21,0.6613962179221524,0.9814982804150202,0.8529880391832776,0.45815490405585435,0.8107142857142857,0.40834916538753735,0.039268460880695216,0,4
20260512T103855Z,dominance_16_23,0.6602957552210523,0.9813858828306669,0.8379195074861744,0.40105399746564985,0.7928571428571429,0.4186885957002313,0.04421879225438098,0,4
20260512T103855Z,dominance_16_27,0.6596653787988215,0.9805403301226023,0.8418779384535208,0.5025193287114721,0.7392857142857144,0.4075781674986257,0.05034415846035577,0,4
20260512T103855Z,dominance_8_19,0.659352255637343,0.9850313235314433,0.8181329791042407,0.8873765114955336,0.6714285714285714,0.4105361464619002,0.07511439297157017,0,4
20260512T103855Z,dominance_18_25,0.6580132196823442,0.9787364866097659,0.8600551739219469,0.006398471273669437,0.7642857142857142,0.3916088326024246,0.03503594486805622,0,4
20260512T103855Z,dominance_18_23,0.6572066136539343,0.9803571286033976,0.8647536096905347,0.29761162132024227,0.7714285714285715,0.38229349185457695,0.031544752759816524,0,4
20260512T103855Z,dominance_24_31,0.6566624675474371,0.9762129093861702,0.8519227796222764,-0.1368308553034501,0.7714285714285715,0.3923605123611025,0.044530337327018124,0,4
20260512T103855Z,dominance_12_19,0.6565749550667753,0.9798716655752637,0.8254660041530398,0.8036708938369458,0.7678571428571429,0.42601050627403625,0.03591571729634302,0,4
20260512T103855Z,dominance_4_4,0.6565542217179183,0.9690722022709668,0.8676232853154437,,0.8500000000000001,0.4138868029697408,0.003293046280182041,0,4
20260512T103855Z,dominance_16_21,0.6564553851162843,0.9801056913157049,0.8678850599684533,0.7457761682371014,0.7750000000000001,0.3741996119789203,0.033113012146980425,0,4
20260512T103855Z,dominance_18_21,0.6564510997541263,0.9712811242169537,0.8701850970088918,0.0019653758339394367,0.7892857142857144,0.3913258498313856,0.024068055300850197,0,4
20260512T103855Z,dominance_16_19,0.6555022196200784,0.9795229755646722,0.8704030414562554,0.6755167500954595,0.8464285714285715,0.37292550582730044,0.02606162306096671,0,4
20260512T103855Z,dominance_20_27,0.6551917484901242,0.9672513359390168,0.8614904342236019,0.3683921586427153,0.8500000000000001,0.4116183156333968,0.012006007845512772,0,4
20260512T103855Z,dominance_4_11,0.6543828262228883,0.9785247576921163,0.8545302631950089,0.5816267341412851,0.7285714285714286,0.3873685989763923,0.02853887132622672,0,4
20260512T103855Z,dominance_4_5,0.6542416729423173,0.9686080940638485,0.8722865542808982,-0.6821440468234173,0.7785714285714287,0.3985778611595029,0.002985777512038902,0,4
20260512T103855Z,dominance_4_7,0.6540956786345686,0.9678336019533669,0.8680263863609143,-0.4225771273642584,0.875,0.3990417175461002,0.01014060057102068,0,4
20260512T103855Z,dominance_24_29,0.6536304070697959,0.9754015886341993,0.8670538246629678,0.48584551637487294,0.8607142857142858,0.3679532262184279,0.03528525575419335,0,4
20260512T103855Z,dominance_16_17,0.6534970104627956,0.9722968526612523,0.8450128840748247,0.7227486121839514,0.8500000000000001,0.4186536951791272,0.009828623757391871,0,4
20260512T103855Z,dominance_18_19,0.6532183724073372,0.9708387155752146,0.8627409355179357,0.4564354645876384,0.775,0.39208349617386146,0.01695324919855177,0,4
20260512T103855Z,dominance_6_9,0.652838825217899,0.9742264837881667,0.8608231991253428,0.6454972243679029,0.8999999999999999,0.38800377556579446,0.016536284434430427,0,4
20260512T103855Z,dominance_20_25,0.6523068322432102,0.9650364465504935,0.853837943963639,,0.925,0.40955962351563835,0.014625362398023941,0,4
20260512T103855Z,dominance_8_8,0.6520692739310708,0.9723471124165508,0.8678368649330488,,0.8999999999999999,0.3873970338480258,0.004797265400874574,0,4
20260512T103855Z,dominance_24_24,0.6520644709070718,0.9710322479213744,0.859700036748474,,0.875,0.4021857689467671,0.0012412430898690163,0,4
20260512T103855Z,dominance_24_25,0.6520164837465644,0.9664488792301288,0.8742644835956741,0.2738612787525831,0.7928571428571428,0.3839894094051567,0.010107792152796686,0,4
20260512T103855Z,dominance_6_11,0.6519280197971614,0.9786194266595682,0.8546357077960527,0.5828664483575041,0.8178571428571428,0.3666133949470117,0.041118559207728486,0,4
20260512T103855Z,dominance_22_27,0.6516746458541381,0.9742632897462885,0.8557882130122492,0.5738612787525831,0.8142857142857143,0.3842467283732897,0.022878636114117064,0,4
