run_id,range_id,composite,pad_accuracy,coherence,llm_corr,llm_coherence,self_direction,emotional_range,danger_score,n_scenarios
20260512T103855Z,arousal_10_15,0.6628985163211489,0.8232984787228457,0.8036606103282918,0.9568855746422431,0.640625,0.5896211311721502,0.20519828170451515,0,4
20260512T103855Z,arousal_4_11,0.6589125181793546,0.8071001351891803,0.7750342139684115,0.9560668056666958,0.7031250000000001,0.6504306924898025,0.18031022543067762,0,4
20260512T103855Z,arousal_4_15,0.6519442548550866,0.8190312219073544,0.7547518028370099,0.9632904282580814,0.6187499999999999,0.6164098421569231,0.1938036243782303,0,4
20260512T103855Z,arousal_10_17,0.6500242611660981,0.812001609878283,0.7895675092304328,0.9445785568769989,0.7,0.5909951407727368,0.1722029774923191,0,4
20260512T103855Z,arousal_6_13,0.6472732123844893,0.8200111500810682,0.7676877647142756,0.9301370668900687,0.66875,0.5901205806012697,0.17730992548598076,0,4
20260512T103855Z,arousal_6_11,0.6344229334191746,0.8011514392478098,0.7842090182566264,0.9495734247017291,0.753125,0.567287324134836,0.1408365927452692,0,4
20260512T103855Z,arousal_8_13,0.6341190931988562,0.8034370798588328,0.8120724312346901,0.9491494032406539,0.81875,0.5407826095698658,0.12334286799116642,0,4
20260512T103855Z,arousal_12_17,0.6317115143137118,0.798420126271784,0.8058515177886209,0.9489143997891853,0.73125,0.5521133655165766,0.11419181633556555,0,4
20260512T103855Z,arousal_8_15,0.625272570057394,0.823293342937681,0.7755034535138317,0.9564567771858972,0.5531250000000001,0.45650083485444165,0.20387519880669372,0,4
20260512T103855Z,arousal_12_15,0.6191543130762145,0.8085099220168793,0.8246801214109448,0.9191897824162178,0.871875,0.44561206302510836,0.1292897480384757,0,4
20260512T103855Z,arousal_12_23,0.616901260137934,0.8044731163642214,0.7888083185454702,0.9428985983267684,0.4875,0.44585592681078834,0.18330622810899322,0,4
20260512T103855Z,arousal_8_19,0.6155376693705792,0.806647317733904,0.7261471289283554,0.9347990055053341,0.475,0.5333247064989246,0.15858655720984197,0,4
20260512T103855Z,arousal_12_19,0.6127003312976761,0.805345958521221,0.7956602520542639,0.9456978663502303,0.65,0.46181834229229957,0.12365186093010877,0,4
20260512T103855Z,arousal_14_17,0.6112538607797267,0.7935975624962577,0.8505402904150595,0.9057944427836799,0.8406250000000001,0.4378535762703786,0.07895612063357359,0,4
20260512T103855Z,arousal_10_13,0.6091507962029195,0.800958166504129,0.8530685683108478,0.8993800367358044,0.878125,0.4205003989481407,0.07054029842699173,0,4
20260512T103855Z,arousal_14_25,0.6086608590066732,0.8080471388872805,0.7889165440440219,0.9257577312745255,0.6031249999999999,0.3916445377936464,0.1988172524672463,0,4
20260512T103855Z,arousal_14_21,0.6079211428743108,0.8069567964189058,0.799872522022615,0.9297619919956244,0.7441964285714286,0.37636627172118386,0.19867069874211635,0,4
