run_id,range_id,composite,pad_accuracy,coherence,llm_corr,llm_coherence,self_direction,emotional_range,danger_score,n_scenarios
20260512T103855Z,valence_14_17,0.7792850183577564,0.9176287440490583,0.846233641442545,0.8838794424248527,0.6166666666666667,0.41221735338743215,0.8804400817942714,1,4
20260512T103855Z,valence_14_21,0.7780943247062069,0.9319969085022937,0.7992920454397172,0.9219411590170623,0.5222222222222221,0.3743864523055496,0.9732367857590598,4,4
20260512T103855Z,valence_10_15,0.7762894073112578,0.9273744379739413,0.8452657362374214,0.943612412956894,0.6055555555555555,0.34562092370789077,0.933383442580108,0,4
20260512T103855Z,valence_16_23,0.7687176187123296,0.9373736135956934,0.8045348233283157,0.911415453131529,0.4888888888888889,0.3774089619581523,0.8934551635911947,3,4
20260512T103855Z,valence_14_19,0.7680664948352811,0.9244097012790138,0.8073542070606117,0.9427428649642426,0.5888888888888889,0.38391309982651,0.902105088250626,4,4
20260512T103855Z,valence_4_11,0.7673250594829729,0.9307529828227439,0.823780511883481,0.8924408960973438,0.5944444444444444,0.36351884302999804,0.8847850807398838,0,4
20260512T103855Z,valence_12_19,0.7668970312786656,0.9188359408854161,0.8061954944940923,0.9165712085235683,0.4277777777777778,0.3530128039558951,0.9493674098031472,0,4
20260512T103855Z,valence_8_13,0.765103108767835,0.9231421333504385,0.8264297708417195,0.9314460167037883,0.5027777777777778,0.37547247788789245,0.866321463986077,0,4
20260512T103855Z,valence_8_15,0.7642644680391303,0.9254598279888395,0.808129929825043,0.9451282854793839,0.4305555555555556,0.3330271783362583,0.9437476981003535,1,4
20260512T103855Z,valence_12_15,0.7629143608903987,0.9158567600436659,0.8535259332221072,0.9218179826497509,0.6388888888888888,0.36359359904946387,0.8384379578189296,0,4
20260512T103855Z,valence_6_13,0.7624346185893881,0.925603627103069,0.8221970352354611,0.9351042230299335,0.5694444444444444,0.3540631619382564,0.8809878493534136,0,4
20260512T103855Z,valence_10_17,0.7617970636422751,0.9096565423100766,0.7922971406087649,0.9178360159789473,0.3472222222222222,0.3297775390691299,0.991270677460049,0,4
20260512T103855Z,valence_12_17,0.7617815727954027,0.9228172656753768,0.8320854213206884,0.93469962390269,0.5555555555555556,0.36771953674754976,0.8479531542237828,0,4
20260512T103855Z,valence_8_11,0.7598006955697525,0.9170343155667697,0.8502773016554818,0.9281163844373623,0.7333333333333334,0.38693988680140584,0.791686857123965,0,4
